Utility: social_welfare_3
Metric: BinaryDiversityUtility
CYLINDER_WORLD, 4 types, schelling_init, value: 0.6451
CYLINDER_WORLD, 5 types, schelling_init, value: 0.6162666666666667
CYLINDER_WORLD, 6 types, schelling_init, value: 0.60065
CYLINDER_WORLD, 7 types, schelling_init, value: 0.5960500000000001
GRID_4DEG_WORLD, 2 types, schelling_init, value: 0.5946
CYLINDER_WORLD, 8 types, schelling_init, value: 0.5875333333333334
GRID_4DEG_WORLD, 2 types, random_init, value: 0.5854
GRID_8DEG_WORLD, 8 types, schelling_init, value: 0.5596375
GRID_4DEG_WORLD, 3 types, schelling_init, value: 0.5510625
GRID_8DEG_WORLD, 7 types, schelling_init, value: 0.5395375000000001
GRID_4DEG_WORLD, 4 types, schelling_init, value: 0.5332125
GRID_4DEG_WORLD, 8 types, schelling_init, value: 0.5297875000000001
GRID_4DEG_WORLD, 6 types, schelling_init, value: 0.5255375
GRID_4DEG_WORLD, 5 types, schelling_init, value: 0.5234875
GRID_4DEG_WORLD, 7 types, schelling_init, value: 0.5229125
GRID_8DEG_WORLD, 2 types, random_init, value: 0.5024000000000001
GRID_8DEG_WORLD, 5 types, schelling_init, value: 0.4986124999999999
GRID_8DEG_WORLD, 4 types, schelling_init, value: 0.47825
GRID_8DEG_WORLD, 6 types, schelling_init, value: 0.44922500000000004
GRID_8DEG_WORLD, 2 types, schelling_init, value: 0.4255500000000001
GRID_8DEG_WORLD, 3 types, schelling_init, value: 0.41876874999999997

Utility: social_welfare_3
Metric: TypeCountingDiversityUtility
CIRCLE_WORLD, 2 types, random_init, value: 0.9726250000000001
CIRCLE_WORLD, 2 types, schelling_init, value: 0.9653750000000002
GRID_8DEG_WORLD, 6 types, random_init, value: 0.9426533838945013
GRID_8DEG_WORLD, 5 types, random_init, value: 0.9402176157778822
CIRCLE_WORLD, 8 types, random_init, value: 0.935564804598747
GRID_8DEG_WORLD, 4 types, random_init, value: 0.9327135517369983
CIRCLE_WORLD, 7 types, random_init, value: 0.9258615793691036
GRID_8DEG_WORLD, 6 types, schelling_init, value: 0.924892070674543
GRID_8DEG_WORLD, 2 types, random_init, value: 0.92415388770816
GRID_8DEG_WORLD, 7 types, random_init, value: 0.9189936906852119
GRID_8DEG_WORLD, 5 types, schelling_init, value: 0.9180327490979374
GRID_8DEG_WORLD, 3 types, random_init, value: 0.9143422084074636
CIRCLE_WORLD, 6 types, random_init, value: 0.9107650906971387
GRID_8DEG_WORLD, 7 types, schelling_init, value: 0.906034106189839
GRID_4DEG_WORLD, 2 types, random_init, value: 0.9009295197369256
GRID_8DEG_WORLD, 4 types, schelling_init, value: 0.8948956902280162
CYLINDER_WORLD, 8 types, random_init, value: 0.8913568695647079
CIRCLE_WORLD, 5 types, random_init, value: 0.8907856485007096
GRID_8DEG_WORLD, 8 types, random_init, value: 0.8834437638687517
GRID_4DEG_WORLD, 3 types, random_init, value: 0.878424189334494
CYLINDER_WORLD, 7 types, random_init, value: 0.8732339369453228
CYLINDER_WORLD, 2 types, random_init, value: 0.8721036046806736
GRID_8DEG_WORLD, 8 types, schelling_init, value: 0.8710410463316076
CIRCLE_WORLD, 4 types, random_init, value: 0.8602664852060653
CYLINDER_WORLD, 3 types, random_init, value: 0.8598821418762772
GRID_4DEG_WORLD, 8 types, random_init, value: 0.8548744003048391
GRID_4DEG_WORLD, 2 types, schelling_init, value: 0.8507263691766045
CYLINDER_WORLD, 6 types, random_init, value: 0.8491274327624108
GRID_4DEG_WORLD, 3 types, schelling_init, value: 0.8432649599917117
CIRCLE_WORLD, 8 types, schelling_init, value: 0.8391557020999936
CYLINDER_WORLD, 2 types, schelling_init, value: 0.8388853224048505
CIRCLE_WORLD, 7 types, schelling_init, value: 0.8354351772992792
GRID_4DEG_WORLD, 7 types, random_init, value: 0.8332521244325913
GRID_4DEG_WORLD, 4 types, random_init, value: 0.8310779287262285
