GRID DEGREE,GRID SIZE,NUM TYPES,INITIALIZATION,UTILITY,STEPS,DoI,CE,NV,EV,Is max (DoI),Is max (CE),Is max (NV),Is max (EV)
GRID_4DEG_WORLD,30x30,7,random_init,TypeCountingDiversityUtility,100.06666666666666,1.0,0.9986296296296298,0.7693703703703704,0.6591930818687947,1,0,1,0
GRID_4DEG_WORLD,30x30,7,random_init,DifferenceCountDiversityUtility,97.46666666666667,1.0,0.9992962962962965,0.759962962962963,0.6459351967997339,0,1,0,0
GRID_4DEG_WORLD,30x30,7,schelling_random_init,BinaryDiversityUtility,39.1,0.9988518518518519,0.5238888888888888,0.40484259259259264,0.5018572619759761,0,0,0,0
GRID_4DEG_WORLD,30x30,7,schelling_random_init,TypeCountingDiversityUtility,262.43333333333334,1.0,0.9984814814814816,0.6960370370370369,0.5642981768335508,1,0,1,1
GRID_4DEG_WORLD,30x30,7,schelling_random_init,DifferenceCountDiversityUtility,252.03333333333333,1.0,0.9992962962962965,0.6431666666666668,0.5035413019295049,0,1,0,0
GRID_4DEG_WORLD,30x30,8,random_init,BinaryDiversityUtility,0.03333333333333333,0.9997037037037036,0.8756666666666668,0.7253796296296298,0.7282740370674311,0,0,0,1
GRID_4DEG_WORLD,30x30,8,random_init,TypeCountingDiversityUtility,89.33333333333333,1.0,0.9989259259259261,0.7995833333333332,0.6942244863965646,1,0,1,0
GRID_4DEG_WORLD,30x30,8,random_init,DifferenceCountDiversityUtility,87.1,1.0,0.9994444444444445,0.792537037037037,0.6835496886589125,0,1,0,0
GRID_4DEG_WORLD,30x30,8,schelling_random_init,BinaryDiversityUtility,36.266666666666666,0.9985925925925925,0.524925925925926,0.4144722222222222,0.5111671639433577,0,0,0,0
GRID_4DEG_WORLD,30x30,8,schelling_random_init,TypeCountingDiversityUtility,259.23333333333335,1.0,0.9988518518518519,0.7171759259259259,0.5845237495589182,1,0,1,1
GRID_4DEG_WORLD,30x30,8,schelling_random_init,DifferenceCountDiversityUtility,248.93333333333334,1.0,0.9993333333333335,0.6663148148148147,0.5235461951581438,0,1,0,0
GRID_4DEG_WORLD,30x30,9,random_init,BinaryDiversityUtility,0.0,0.9998888888888888,0.8907777777777778,0.7527314814814815,0.7493442937285631,0,0,0,1
GRID_4DEG_WORLD,30x30,9,random_init,TypeCountingDiversityUtility,78.83333333333333,1.0,0.999351851851852,0.8210370370370369,0.7193652384776333,1,0,1,0
GRID_4DEG_WORLD,30x30,9,random_init,DifferenceCountDiversityUtility,78.23333333333333,1.0,0.9995740740740742,0.8155185185185184,0.7110645738109916,0,1,0,0
GRID_4DEG_WORLD,30x30,9,schelling_random_init,BinaryDiversityUtility,29.466666666666665,0.9986296296296295,0.5236851851851853,0.42696296296296293,0.5270556100652395,0,0,0,0
GRID_4DEG_WORLD,30x30,9,schelling_random_init,TypeCountingDiversityUtility,255.16666666666666,1.0,0.9992222222222222,0.7429814814814815,0.6105748376683127,1,0,1,1
GRID_4DEG_WORLD,30x30,9,schelling_random_init,DifferenceCountDiversityUtility,243.46666666666667,1.0,0.9995370370370372,0.6871574074074075,0.5436019356111046,0,1,0,0
