GRID DEGREE,NUM TYPES,INITIALIZATION,UTILITY,STEPS,soc. wel. (Entropy),# colorful edges,Is max (soc. wel. (Entropy)),Is max (# colorful edges)
CIRCLE_WORLD,7,random_init,EntropyDivertiyUtility,24.52,0.9258615793691036,0.9971125000000002,0,0
CIRCLE_WORLD,7,random_init,AvgDiffTypeCountingDiversityUtility,25.43,0.9273589543721397,1.0,1,1
CIRCLE_WORLD,7,schelling_init,BinaryDiversityUtility,45.64,0.6793163060633828,0.7884000000000002,0,0
CIRCLE_WORLD,7,schelling_init,TypeCountingDiversityUtility,86.95,0.8354351772992792,0.9948125000000002,0,0
CIRCLE_WORLD,7,schelling_init,DifferenceCountDiversityUtility,87.31,0.8380193012664219,0.9981875000000002,0,0
CIRCLE_WORLD,7,schelling_init,EntropyDivertiyUtility,86.95,0.8354351772992792,0.9948125000000002,0,0
CIRCLE_WORLD,7,schelling_init,AvgDiffTypeCountingDiversityUtility,88.29,0.8402380708998152,1.0,1,1
CIRCLE_WORLD,8,random_init,BinaryDiversityUtility,2.37,0.8626195368671372,0.8994,0,0
CIRCLE_WORLD,8,random_init,TypeCountingDiversityUtility,22.08,0.935564804598747,0.9976875000000001,0,0
CIRCLE_WORLD,8,random_init,DifferenceCountDiversityUtility,21.85,0.9348565029437472,0.9979625000000002,0,0
CIRCLE_WORLD,8,random_init,EntropyDivertiyUtility,22.08,0.935564804598747,0.9976875000000001,0,0
CIRCLE_WORLD,8,random_init,AvgDiffTypeCountingDiversityUtility,22.82,0.9367492922044615,1.0,1,1
CIRCLE_WORLD,8,schelling_init,BinaryDiversityUtility,45.36,0.6829255405735613,0.7895625,0,0
CIRCLE_WORLD,8,schelling_init,TypeCountingDiversityUtility,86.68,0.8391557020999936,0.9958875,0,0
CIRCLE_WORLD,8,schelling_init,DifferenceCountDiversityUtility,86.94,0.8411844655301722,0.9984625000000001,0,0
CIRCLE_WORLD,8,schelling_init,EntropyDivertiyUtility,86.68,0.8391557020999936,0.9958875,0,0
CIRCLE_WORLD,8,schelling_init,AvgDiffTypeCountingDiversityUtility,87.79,0.8433191111964223,1.0,1,1
CYLINDER_WORLD,2,random_init,BinaryDiversityUtility,16.72,0.8721036046806736,0.6697333333333334,1,0
CYLINDER_WORLD,2,random_init,TypeCountingDiversityUtility,16.72,0.8721036046806736,0.6697333333333334,0,0
CYLINDER_WORLD,2,random_init,DifferenceCountDiversityUtility,62.01,0.8552786297414882,0.8962666666666667,0,1
CYLINDER_WORLD,2,random_init,EntropyDivertiyUtility,60.31,0.8608105554304184,0.8637666666666667,0,0
