Utility: social_welfare_3
Metric: BinaryDiversityUtility
GRID_4DEG_WORLD, 2 types, random_init, value: 0.8747580527503304
CYLINDER_WORLD, 2 types, random_init, value: 0.8721036046806736
GRID_4DEG_WORLD, 3 types, random_init, value: 0.8434890114867308
CYLINDER_WORLD, 2 types, shelling_init, value: 0.8388853224048505
GRID_8DEG_WORLD, 3 types, shelling_init, value: 0.8263622650432589
GRID_4DEG_WORLD, 2 types, shelling_init, value: 0.8260132738702883
CYLINDER_WORLD, 3 types, random_init, value: 0.8137878418117434
GRID_4DEG_WORLD, 3 types, shelling_init, value: 0.8097280746147085
GRID_8DEG_WORLD, 2 types, shelling_init, value: 0.8034596245058135
CIRCLE_WORLD, 3 types, random_init, value: 0.7989309416742775
CYLINDER_WORLD, 3 types, shelling_init, value: 0.7770534353748689
GRID_4DEG_WORLD, 5 types, random_init, value: 0.7568955126596408
CIRCLE_WORLD, 3 types, shelling_init, value: 0.7537713775217765
GRID_4DEG_WORLD, 6 types, random_init, value: 0.7206187902797901
GRID_4DEG_WORLD, 5 types, shelling_init, value: 0.713019794635422
CYLINDER_WORLD, 5 types, random_init, value: 0.7000127056763854
GRID_4DEG_WORLD, 7 types, random_init, value: 0.6891723959244085
GRID_4DEG_WORLD, 6 types, shelling_init, value: 0.6726618596080729
CYLINDER_WORLD, 6 types, random_init, value: 0.6569746621279979
CYLINDER_WORLD, 5 types, shelling_init, value: 0.6501888326396442
GRID_4DEG_WORLD, 7 types, shelling_init, value: 0.6432804858121126
CYLINDER_WORLD, 7 types, random_init, value: 0.6221044087331152
CIRCLE_WORLD, 5 types, random_init, value: 0.6080558016258033
CYLINDER_WORLD, 6 types, shelling_init, value: 0.6078083364804792
CYLINDER_WORLD, 7 types, shelling_init, value: 0.5726598426141998
CIRCLE_WORLD, 6 types, random_init, value: 0.5584330586297301
CIRCLE_WORLD, 5 types, shelling_init, value: 0.5581838123159448
CIRCLE_WORLD, 7 types, random_init, value: 0.5227183327012113
CIRCLE_WORLD, 6 types, shelling_init, value: 0.5093806946499232
CIRCLE_WORLD, 7 types, shelling_init, value: 0.47166584367329784

Utility: number_of_colorful_edges
Metric: TypeCountingDiversityUtility
CYLINDER_WORLD, 7 types, shelling_init, value: 0.9977999999999999
CYLINDER_WORLD, 7 types, random_init, value: 0.9975333333333333
CYLINDER_WORLD, 6 types, random_init, value: 0.99715
CIRCLE_WORLD, 7 types, random_init, value: 0.9971125000000002
CIRCLE_WORLD, 6 types, random_init, value: 0.9970125000000002
GRID_4DEG_WORLD, 7 types, random_init, value: 0.9969375000000003
CYLINDER_WORLD, 6 types, shelling_init, value: 0.9964500000000001
CIRCLE_WORLD, 5 types, random_init, value: 0.9963000000000002
GRID_4DEG_WORLD, 7 types, shelling_init, value: 0.9953750000000001
CYLINDER_WORLD, 5 types, random_init, value: 0.9953166666666668
CIRCLE_WORLD, 6 types, shelling_init, value: 0.9952125000000003
CIRCLE_WORLD, 7 types, shelling_init, value: 0.9948125000000002
GRID_4DEG_WORLD, 6 types, random_init, value: 0.9947625000000001
CYLINDER_WORLD, 5 types, shelling_init, value: 0.9943833333333335
CIRCLE_WORLD, 5 types, shelling_init, value: 0.9943250000000002
GRID_4DEG_WORLD, 6 types, shelling_init, value: 0.9933625
GRID_4DEG_WORLD, 5 types, random_init, value: 0.9909749999999998
GRID_4DEG_WORLD, 5 types, shelling_init, value: 0.9885499999999999
CIRCLE_WORLD, 3 types, shelling_init, value: 0.9837875000000001
CIRCLE_WORLD, 3 types, random_init, value: 0.9823499999999998
GRID_8DEG_WORLD, 7 types, random_init, value: 0.980175
GRID_8DEG_WORLD, 7 types, shelling_init, value: 0.97794375
CYLINDER_WORLD, 3 types, shelling_init, value: 0.9621666666666667
GRID_8DEG_WORLD, 6 types, random_init, value: 0.9619000000000001
GRID_8DEG_WORLD, 6 types, shelling_init, value: 0.95676875
CYLINDER_WORLD, 3 types, random_init, value: 0.9547333333333331
GRID_8DEG_WORLD, 5 types, random_init, value: 0.9183375000000003
GRID_4DEG_WORLD, 3 types, shelling_init, value: 0.9162125
GRID_8DEG_WORLD, 5 types, shelling_init, value: 0.9138250000000001
GRID_4DEG_WORLD, 3 types, random_init, value: 0.9021875
CIRCLE_WORLD, 2 types, shelling_init, value: 0.8472625
CIRCLE_WORLD, 2 types, random_init, value: 0.7963625000000001
CYLINDER_WORLD, 2 types, shelling_init, value: 0.7709000000000001
GRID_8DEG_WORLD, 3 types, random_init, value: 0.7001125
CYLINDER_WORLD, 2 types, random_init, value: 0.6697333333333334
GRID_8DEG_WORLD, 3 types, shelling_init, value: 0.6632062500000001
GRID_4DEG_WORLD, 2 types, shelling_init, value: 0.5946
GRID_4DEG_WORLD, 2 types, random_init, value: 0.5854
GRID_8DEG_WORLD, 2 types, random_init, value: 0.5024000000000001
GRID_8DEG_WORLD, 2 types, shelling_init, value: 0.4255500000000001

Utility: social_welfare_3
Metric: DifferenceCountDiversityUtility
GRID_8DEG_WORLD, 3 types, random_init, value: 0.9474430576624969
GRID_8DEG_WORLD, 2 types, random_init, value: 0.9443035223922106
GRID_8DEG_WORLD, 2 types, shelling_init, value: 0.9406583443331986
GRID_8DEG_WORLD, 3 types, shelling_init, value: 0.9338443212465224
GRID_8DEG_WORLD, 5 types, random_init, value: 0.9318316581000781
GRID_8DEG_WORLD, 5 types, shelling_init, value: 0.9242216679773311
CIRCLE_WORLD, 2 types, random_init, value: 0.9182958340544894
CIRCLE_WORLD, 2 types, shelling_init, value: 0.9177907713457594
GRID_8DEG_WORLD, 6 types, random_init, value: 0.9150985209051108
GRID_8DEG_WORLD, 6 types, shelling_init, value: 0.9026032423319218
GRID_8DEG_WORLD, 7 types, random_init, value: 0.8936095376899068
GRID_8DEG_WORLD, 7 types, shelling_init, value: 0.8815895948452197
CYLINDER_WORLD, 2 types, random_init, value: 0.8552786297414882
CYLINDER_WORLD, 2 types, shelling_init, value: 0.8267204245110584
GRID_4DEG_WORLD, 3 types, random_init, value: 0.8074168468103742
GRID_4DEG_WORLD, 2 types, random_init, value: 0.806296917740768
CIRCLE_WORLD, 3 types, random_init, value: 0.8007839303098134
GRID_4DEG_WORLD, 2 types, shelling_init, value: 0.7965912658201323
CYLINDER_WORLD, 3 types, random_init, value: 0.7928835474383508
CIRCLE_WORLD, 3 types, shelling_init, value: 0.7561561657405262
GRID_4DEG_WORLD, 3 types, shelling_init, value: 0.7542696598463707
GRID_4DEG_WORLD, 5 types, random_init, value: 0.7483899739101364
GRID_4DEG_WORLD, 6 types, random_init, value: 0.7139384364347238
CYLINDER_WORLD, 3 types, shelling_init, value: 0.6983637733286199
CYLINDER_WORLD, 5 types, random_init, value: 0.6936179759266626
GRID_4DEG_WORLD, 7 types, random_init, value: 0.6822087914414507
GRID_4DEG_WORLD, 5 types, shelling_init, value: 0.6613810020423841
CYLINDER_WORLD, 6 types, random_init, value: 0.650301778060803
GRID_4DEG_WORLD, 6 types, shelling_init, value: 0.627074516315985
CYLINDER_WORLD, 7 types, random_init, value: 0.6180158932495995
CIRCLE_WORLD, 5 types, random_init, value: 0.6083503779315012
GRID_4DEG_WORLD, 7 types, shelling_init, value: 0.6033739515922509
CYLINDER_WORLD, 5 types, shelling_init, value: 0.5832502597693707
CIRCLE_WORLD, 5 types, shelling_init, value: 0.559554723901784
CIRCLE_WORLD, 6 types, random_init, value: 0.5587943733490067
CYLINDER_WORLD, 6 types, shelling_init, value: 0.5522478563533483
CYLINDER_WORLD, 7 types, shelling_init, value: 0.5248632093760337
CIRCLE_WORLD, 7 types, random_init, value: 0.5224772813238616
CIRCLE_WORLD, 6 types, shelling_init, value: 0.5107021218629648
CIRCLE_WORLD, 7 types, shelling_init, value: 0.47312477555004606

Utility: number_of_colorful_edges
Metric: DifferenceCountDiversityUtility
GRID_4DEG_WORLD, 7 types, random_init, value: 0.9984999999999999
CYLINDER_WORLD, 7 types, shelling_init, value: 0.9984666666666666
CYLINDER_WORLD, 7 types, random_init, value: 0.9984333333333333
CIRCLE_WORLD, 6 types, shelling_init, value: 0.9983250000000001
GRID_4DEG_WORLD, 7 types, shelling_init, value: 0.9983250000000001
CIRCLE_WORLD, 7 types, shelling_init, value: 0.9981875000000002
GRID_4DEG_WORLD, 6 types, random_init, value: 0.9981750000000001
CYLINDER_WORLD, 6 types, random_init, value: 0.9981333333333333
CIRCLE_WORLD, 5 types, shelling_init, value: 0.9979750000000002
CYLINDER_WORLD, 6 types, shelling_init, value: 0.9979666666666666
CIRCLE_WORLD, 7 types, random_init, value: 0.9978625000000002
CIRCLE_WORLD, 6 types, random_init, value: 0.9978000000000001
GRID_4DEG_WORLD, 6 types, shelling_init, value: 0.9978
CYLINDER_WORLD, 5 types, random_init, value: 0.9975
CYLINDER_WORLD, 5 types, shelling_init, value: 0.9974999999999998
CIRCLE_WORLD, 5 types, random_init, value: 0.9974000000000001
GRID_4DEG_WORLD, 5 types, shelling_init, value: 0.9967250000000001
GRID_4DEG_WORLD, 5 types, random_init, value: 0.996625
GRID_8DEG_WORLD, 7 types, shelling_init, value: 0.9923125
GRID_8DEG_WORLD, 7 types, random_init, value: 0.99089375
CIRCLE_WORLD, 3 types, shelling_init, value: 0.9904374999999999
CYLINDER_WORLD, 3 types, shelling_init, value: 0.9894
CIRCLE_WORLD, 3 types, random_init, value: 0.98735
GRID_8DEG_WORLD, 6 types, shelling_init, value: 0.9853875
GRID_8DEG_WORLD, 6 types, random_init, value: 0.9810875000000001
CYLINDER_WORLD, 3 types, random_init, value: 0.97935
GRID_4DEG_WORLD, 3 types, shelling_init, value: 0.9745875
GRID_4DEG_WORLD, 3 types, random_init, value: 0.9653624999999999
GRID_8DEG_WORLD, 5 types, shelling_init, value: 0.9641124999999998
GRID_8DEG_WORLD, 5 types, random_init, value: 0.9590875
CYLINDER_WORLD, 2 types, shelling_init, value: 0.9430666666666668
CIRCLE_WORLD, 2 types, shelling_init, value: 0.9228375
GRID_4DEG_WORLD, 2 types, shelling_init, value: 0.8992249999999999
CYLINDER_WORLD, 2 types, random_init, value: 0.8962666666666667
CIRCLE_WORLD, 2 types, random_init, value: 0.89085
GRID_4DEG_WORLD, 2 types, random_init, value: 0.8885500000000002
GRID_8DEG_WORLD, 3 types, shelling_init, value: 0.8453624999999998
GRID_8DEG_WORLD, 3 types, random_init, value: 0.8376812499999998
GRID_8DEG_WORLD, 2 types, shelling_init, value: 0.6918499999999999
GRID_8DEG_WORLD, 2 types, random_init, value: 0.6859000000000001

Utility: social_welfare_3
Metric: EntropyDivertiyUtility
GRID_8DEG_WORLD, 2 types, random_init, value: 0.9562863529440979
GRID_8DEG_WORLD, 3 types, random_init, value: 0.9507251290165499
GRID_8DEG_WORLD, 5 types, random_init, value: 0.93871670614689
GRID_8DEG_WORLD, 2 types, shelling_init, value: 0.9370207631873708
GRID_8DEG_WORLD, 3 types, shelling_init, value: 0.9352806561634536
GRID_8DEG_WORLD, 5 types, shelling_init, value: 0.933765748312706
GRID_8DEG_WORLD, 6 types, random_init, value: 0.9206997928359384
GRID_8DEG_WORLD, 6 types, shelling_init, value: 0.9151176860442992
GRID_8DEG_WORLD, 7 types, random_init, value: 0.8968380069491654
CIRCLE_WORLD, 2 types, random_init, value: 0.8931574855972471
GRID_8DEG_WORLD, 7 types, shelling_init, value: 0.8911447229950415
CIRCLE_WORLD, 2 types, shelling_init, value: 0.8864998408003522
CYLINDER_WORLD, 2 types, random_init, value: 0.8608105554304184
GRID_4DEG_WORLD, 2 types, random_init, value: 0.8573730212781269
GRID_4DEG_WORLD, 3 types, random_init, value: 0.833931612680892
CYLINDER_WORLD, 2 types, shelling_init, value: 0.8306855067522663
GRID_4DEG_WORLD, 2 types, shelling_init, value: 0.8187448289558946
CYLINDER_WORLD, 3 types, random_init, value: 0.8012445536172791
CIRCLE_WORLD, 3 types, random_init, value: 0.7989309416742775
GRID_4DEG_WORLD, 3 types, shelling_init, value: 0.7808427395266755
CIRCLE_WORLD, 3 types, shelling_init, value: 0.7537713775217765
GRID_4DEG_WORLD, 5 types, random_init, value: 0.7530739671254405
CYLINDER_WORLD, 3 types, shelling_init, value: 0.716624447878441
GRID_4DEG_WORLD, 6 types, random_init, value: 0.7163417466629118
CYLINDER_WORLD, 5 types, random_init, value: 0.6948111607909301
GRID_4DEG_WORLD, 7 types, random_init, value: 0.6864689279046005
GRID_4DEG_WORLD, 5 types, shelling_init, value: 0.6802663428873384
CYLINDER_WORLD, 6 types, random_init, value: 0.6538564466501904
GRID_4DEG_WORLD, 6 types, shelling_init, value: 0.6468471861783915
CYLINDER_WORLD, 7 types, random_init, value: 0.6209709199505332
GRID_4DEG_WORLD, 7 types, shelling_init, value: 0.6203591053082251
CIRCLE_WORLD, 5 types, random_init, value: 0.6080558016258033
CYLINDER_WORLD, 5 types, shelling_init, value: 0.6048855900098471
CYLINDER_WORLD, 6 types, shelling_init, value: 0.5704297216064957
CIRCLE_WORLD, 6 types, random_init, value: 0.5584330586297301
CIRCLE_WORLD, 5 types, shelling_init, value: 0.5581838123159448
CYLINDER_WORLD, 7 types, shelling_init, value: 0.5419173059856935
CIRCLE_WORLD, 7 types, random_init, value: 0.5227183327012113
CIRCLE_WORLD, 6 types, shelling_init, value: 0.5093806946499232
