GRID DEGREE,NUM TYPES,INITIALIZATION,UTILITY,STEPS,social_welfare_3,number_of_colorful_edges,Is max (social_welfare_3),Is max (number_of_colorful_edges)
GRID_4DEG_WORLD,3,shelling_init,TypeCountingDiversityUtility,105.18,0.8097280746147085,0.9162125,1,0
GRID_4DEG_WORLD,3,shelling_init,DifferenceCountDiversityUtility,112.75,0.7542696598463707,0.9745875,0,1
GRID_4DEG_WORLD,3,shelling_init,EntropyDivertiyUtility,111.0,0.7808427395266755,0.9612875000000001,0,0
GRID_4DEG_WORLD,6,random_init,BinaryDiversityUtility,0.03,0.6662003236877219,0.8349125,0,0
GRID_4DEG_WORLD,6,random_init,TypeCountingDiversityUtility,48.8,0.7206187902797901,0.9947625000000001,1,0
GRID_4DEG_WORLD,6,random_init,DifferenceCountDiversityUtility,48.55,0.7139384364347238,0.9981750000000001,0,1
GRID_4DEG_WORLD,6,random_init,EntropyDivertiyUtility,48.81,0.7163417466629118,0.9958625000000001,0,0
GRID_4DEG_WORLD,6,shelling_init,BinaryDiversityUtility,17.23,0.4446357239963597,0.5255375,0,0
GRID_4DEG_WORLD,6,shelling_init,TypeCountingDiversityUtility,117.5,0.6726618596080729,0.9933625,1,0
GRID_4DEG_WORLD,6,shelling_init,DifferenceCountDiversityUtility,112.9,0.627074516315985,0.9978,0,1
GRID_4DEG_WORLD,6,shelling_init,EntropyDivertiyUtility,116.74,0.6468471861783915,0.9961375000000001,0,0
GRID_4DEG_WORLD,7,random_init,BinaryDiversityUtility,0.0,0.6412594972563208,0.8586374999999999,0,0
GRID_4DEG_WORLD,7,random_init,TypeCountingDiversityUtility,43.28,0.6891723959244085,0.9969375000000003,1,0
GRID_4DEG_WORLD,7,random_init,DifferenceCountDiversityUtility,42.75,0.6822087914414507,0.9984999999999999,0,1
GRID_4DEG_WORLD,7,random_init,EntropyDivertiyUtility,42.89,0.6864689279046005,0.9971625000000001,0,0
GRID_4DEG_WORLD,7,shelling_init,BinaryDiversityUtility,13.4,0.4237201234841495,0.5229125,0,0
GRID_4DEG_WORLD,7,shelling_init,TypeCountingDiversityUtility,114.57,0.6432804858121126,0.9953750000000001,1,0
GRID_4DEG_WORLD,7,shelling_init,DifferenceCountDiversityUtility,109.61,0.6033739515922509,0.9983250000000001,0,1
GRID_4DEG_WORLD,7,shelling_init,EntropyDivertiyUtility,113.62,0.6203591053082251,0.9967375000000002,0,0
GRID_8DEG_WORLD,3,random_init,BinaryDiversityUtility,0.0,0.8885877331436499,0.6679062499999999,0,0
GRID_8DEG_WORLD,3,random_init,TypeCountingDiversityUtility,6.48,0.9143422084074636,0.7001125,0,0
GRID_8DEG_WORLD,3,random_init,DifferenceCountDiversityUtility,74.25,0.9474430576624969,0.8376812499999998,0,1
GRID_8DEG_WORLD,3,random_init,EntropyDivertiyUtility,68.13,0.9507251290165499,0.82416875,1,0
GRID_8DEG_WORLD,3,shelling_init,BinaryDiversityUtility,22.9,0.5612196439951543,0.41876874999999997,0,0
GRID_8DEG_WORLD,3,shelling_init,TypeCountingDiversityUtility,58.77,0.8263622650432589,0.6632062500000001,0,0
GRID_8DEG_WORLD,3,shelling_init,DifferenceCountDiversityUtility,135.17,0.9338443212465224,0.8453624999999998,0,1
GRID_8DEG_WORLD,3,shelling_init,EntropyDivertiyUtility,134.91,0.9352806561634536,0.8356500000000001,1,0
GRID_8DEG_WORLD,6,random_init,BinaryDiversityUtility,0.0,0.8153696919680431,0.8339125000000002,0,0
GRID_8DEG_WORLD,6,random_init,TypeCountingDiversityUtility,62.7,0.9128584802990612,0.9619000000000001,0,0
GRID_8DEG_WORLD,6,random_init,DifferenceCountDiversityUtility,82.92,0.9150985209051108,0.9810875000000001,0,0
GRID_8DEG_WORLD,6,random_init,EntropyDivertiyUtility,124.92,0.9206997928359384,0.9860125000000001,1,1
GRID_8DEG_WORLD,6,shelling_init,BinaryDiversityUtility,12.94,0.43006618059682217,0.44922500000000004,0,0
GRID_8DEG_WORLD,6,shelling_init,TypeCountingDiversityUtility,132.45,0.8956585575373122,0.95676875,0,0
GRID_8DEG_WORLD,6,shelling_init,DifferenceCountDiversityUtility,182.06,0.9026032423319218,0.9853875,0,0
GRID_8DEG_WORLD,6,shelling_init,EntropyDivertiyUtility,238.76,0.9151176860442992,0.9881999999999997,1,1
GRID_8DEG_WORLD,7,random_init,BinaryDiversityUtility,0.0,0.794891319022028,0.858,0,0
GRID_8DEG_WORLD,7,random_init,TypeCountingDiversityUtility,65.49,0.8921919406365904,0.980175,0,0
GRID_8DEG_WORLD,7,random_init,DifferenceCountDiversityUtility,78.47,0.8936095376899068,0.99089375,0,0
GRID_8DEG_WORLD,7,random_init,EntropyDivertiyUtility,121.09,0.8968380069491654,0.9954062500000002,1,1
GRID_8DEG_WORLD,7,shelling_init,BinaryDiversityUtility,5.33,0.49260637242185673,0.5395375000000001,0,0
GRID_8DEG_WORLD,7,shelling_init,TypeCountingDiversityUtility,131.44,0.8796103125384153,0.97794375,0,0
GRID_8DEG_WORLD,7,shelling_init,DifferenceCountDiversityUtility,159.59,0.8815895948452197,0.9923125,0,0
GRID_8DEG_WORLD,7,shelling_init,EntropyDivertiyUtility,223.12,0.8911447229950415,0.9956687500000001,1,1
